date,county,maxtempF,mintempF,avgtempF,totalSnow,humid,wind,precip,q_avgtempF,q_avghumid,q_sumprecip,sunHour,FIRE_NAME,CAUSE,lat,long,GIS_ACRES
2016-07,Kern County,94.6774193548387,60.03225806451613,84.12903225806451,0.0,29.806451612903224,4.548387096774194,0.0032258064516129,77.02043010752688,36.06308243727599,0.0162365591397847,13.435483870967746,no_fire,14.0,35.35,-118.73,7.9217839
2016-07,Kern County,94.6774193548387,60.03225806451613,84.12903225806451,0.0,29.806451612903224,4.548387096774194,0.0032258064516129,77.02043010752688,36.06308243727599,0.0162365591397847,13.435483870967746,no_fire,14.0,35.35,-118.73,1.1199391
2016-07,Kern County,94.6774193548387,60.03225806451613,84.12903225806451,0.0,29.806451612903224,4.548387096774194,0.0032258064516129,77.02043010752688,36.06308243727599,0.0162365591397847,13.435483870967746,DEER,14.0,35.35,-118.73,1563.4291
2016-07,Kern County,94.6774193548387,60.03225806451613,84.12903225806451,0.0,29.806451612903224,4.548387096774194,0.0032258064516129,77.02043010752688,36.06308243727599,0.0162365591397847,13.435483870967746,no_fire,14.0,35.35,-118.73,14.096872
2016-07,Kern County,94.6774193548387,60.03225806451613,84.12903225806451,0.0,29.806451612903224,4.548387096774194,0.0032258064516129,77.02043010752688,36.06308243727599,0.0162365591397847,13.435483870967746,ONYX,15.0,35.35,-118.73,266.23813
2016-08,Los Angeles County,88.12903225806451,65.6774193548387,80.80645161290323,0.0,57.096774193548384,4.741935483870968,0.0,52.59306195596517,58.061546338965705,0.398079877112135,11.600000000000003,OAK FIRE,14.0,34.20000000000002,-118.2600000000001,8.1005621
2016-08,Los Angeles County,88.12903225806451,65.6774193548387,80.80645161290323,0.0,57.096774193548384,4.741935483870968,0.0,52.59306195596517,58.061546338965705,0.398079877112135,11.600000000000003,SPRINGS FIRE,14.0,34.20000000000002,-118.2600000000001,0.13284877
2016-08,Kern County,95.25806451612904,56.74193548387097,82.12903225806451,0.0,28.451612903225808,3.903225806451613,0.0032258064516129,74.5716845878136,44.56989247311828,0.1007526881720429,11.600000000000003,DUMP,14.0,35.35,-118.73,3.4633083
2016-08,Kern County,95.25806451612904,56.74193548387097,82.12903225806451,0.0,28.451612903225808,3.903225806451613,0.0032258064516129,74.5716845878136,44.56989247311828,0.1007526881720429,11.600000000000003,RANGE,14.0,35.35,-118.73,515.69788
2016-08,Kern County,95.25806451612904,56.74193548387097,82.12903225806451,0.0,28.451612903225808,3.903225806451613,0.0032258064516129,74.5716845878136,44.56989247311828,0.1007526881720429,11.600000000000003,no_fire,14.0,35.35,-118.73,5.6621652
2016-08,Kern County,95.25806451612904,56.74193548387097,82.12903225806451,0.0,28.451612903225808,3.903225806451613,0.0032258064516129,74.5716845878136,44.56989247311828,0.1007526881720429,11.600000000000003,VIEW,14.0,35.35,-118.73,2.9347036
2016-08,Kern County,95.25806451612904,56.74193548387097,82.12903225806451,0.0,28.451612903225808,3.903225806451613,0.0032258064516129,74.5716845878136,44.56989247311828,0.1007526881720429,11.600000000000003,TUNNEL,14.0,35.35,-118.73,2.3418949
2016-08,Kern County,95.25806451612904,56.74193548387097,82.12903225806451,0.0,28.451612903225808,3.903225806451613,0.0032258064516129,74.5716845878136,44.56989247311828,0.1007526881720429,11.600000000000003,HAVILAH 2,14.0,35.35,-118.73,303.79959
2016-09,Los Angeles County,85.4,62.73333333333333,77.73333333333333,0.0,54.16666666666666,4.4,0.0066666666666666,45.726958525345616,62.759216589861744,0.2935483870967742,11.6,GORMAN FIRE,14.0,34.20000000000002,-118.26000000000008,4.489233
2016-09,Los Angeles County,85.4,62.73333333333333,77.73333333333333,0.0,54.16666666666666,4.4,0.0066666666666666,45.726958525345616,62.759216589861744,0.2935483870967742,11.6,CALGROVE FIRE,14.0,34.20000000000002,-118.26000000000008,7.8246336
2016-09,Los Angeles County,85.4,62.73333333333333,77.73333333333333,0.0,54.16666666666666,4.4,0.0066666666666666,45.726958525345616,62.759216589861744,0.2935483870967742,11.6,SOLEDAD  FIRE,14.0,34.20000000000002,-118.26000000000008,3.7254248
2016-09,Los Angeles County,85.4,62.73333333333333,77.73333333333333,0.0,54.16666666666666,4.4,0.0066666666666666,45.726958525345616,62.759216589861744,0.2935483870967742,11.6,PLEASANT,9.0,34.20000000000002,-118.26000000000008,12.440531
2016-10,Los Angeles County,80.03225806451613,59.193548387096776,72.2258064516129,0.0,54.03225806451613,4.032258064516129,0.0096774193548387,62.74444444444445,66.13010752688172,0.099784946236559,10.909677419354832,JOHNSON FIRE,14.0,34.20000000000002,-118.2600000000001,101.49581
2016-10,Los Angeles County,80.03225806451613,59.193548387096776,72.2258064516129,0.0,54.03225806451613,4.032258064516129,0.0096774193548387,62.74444444444445,66.13010752688172,0.099784946236559,10.909677419354832,SESNON FIRE,14.0,34.20000000000002,-118.2600000000001,28.68535
2016-10,Los Angeles County,80.03225806451613,59.193548387096776,72.2258064516129,0.0,54.03225806451613,4.032258064516129,0.0096774193548387,62.74444444444445,66.13010752688172,0.099784946236559,10.909677419354832,KAGEL FIRE,14.0,34.20000000000002,-118.2600000000001,61.806499
2016-10,Kern County,78.45161290322581,42.74193548387097,64.51612903225806,0.0,45.64516129032258,3.741935483870968,0.0193548387096774,73.8505376344086,59.1021505376344,0.0362365591397848,10.899999999999997,KEENE,14.0,35.35,-118.73,1.1729813
2016-11,Los Angeles County,77.1,53.833333333333336,67.2,0.0,44.16666666666666,4.3,0.03,55.80857654889913,73.13594470046081,0.4785407066052224,8.483333333333329,LIBERTY CANYON,14.0,34.20000000000002,-118.26000000000008,0.077734582
2016-11,Los Angeles County,77.1,53.833333333333336,67.2,0.0,44.16666666666666,4.3,0.03,55.80857654889913,73.13594470046081,0.4785407066052224,8.483333333333329,NEWELL FIRE,3.0,34.20000000000002,-118.26000000000008,0.5850569
2016-11,Los Angeles County,77.1,53.833333333333336,67.2,0.0,44.16666666666666,4.3,0.03,55.80857654889913,73.13594470046081,0.4785407066052224,8.483333333333329,CROSSROADS FIRE,2.0,34.20000000000002,-118.26000000000008,0.91834772
2016-11,Los Angeles County,77.1,53.833333333333336,67.2,0.0,44.16666666666666,4.3,0.03,55.80857654889913,73.13594470046081,0.4785407066052224,8.483333333333329,RIDGE FIRE,10.0,34.20000000000002,-118.26000000000008,4.4466839
2016-11,Los Angeles County,77.1,53.833333333333336,67.2,0.0,44.16666666666666,4.3,0.03,55.80857654889913,73.13594470046081,0.4785407066052224,8.483333333333329,MAREK,2.0,34.20000000000002,-118.26000000000008,41.847244
2016-12,Los Angeles County,65.06451612903226,47.193548387096776,57.096774193548384,0.0,56.0,5.193548387096774,0.1129032258064516,82.01827956989247,34.254838709677415,0.0330107526881719,8.432258064516125,COAST,14.0,34.20000000000002,-118.2600000000001,1.1673875
2016-12,Los Angeles County,65.06451612903226,47.193548387096776,57.096774193548384,0.0,56.0,5.193548387096774,0.1129032258064516,82.01827956989247,34.254838709677415,0.0330107526881719,8.432258064516125,LIBERTY FIRE,14.0,34.20000000000002,-118.2600000000001,4.7989841
2017-04,Los Angeles County,76.3,54.2,69.33333333333333,0.0,49.86666666666667,5.5,0.0033333333333333,71.21612903225807,55.03369175627242,0.0795698924731182,11.55666666666667,ENCINAL,2.0,34.20000000000002,-118.26000000000008,2.5252764
2017-04,Kern County,72.4,36.13333333333333,59.66666666666666,0.0,53.86666666666667,5.333333333333333,0.0166666666666666,81.39999999999999,44.29247311827959,0.0193548387096773,11.473333333333336,AIRPORT,14.0,35.35000000000001,-118.73,20.802746
